交易日期,证券代码,开盘价,最高价,最低价,收盘价,昨收价,成交量,成交额,复权状态,换手率,交易状态,涨跌幅,滚动市盈率,滚动市销率,滚动市现率,市净率,是否ST
2010-01-04,sz.000418,28.6667797200,29.9378170200,28.3734634200,29.9378170200,28.6081164600,7822516,116938539.1400,后复权,2.247008,正常交易,4.648000,134.498692,2.214343,14.582464,4.726737,否
2010-01-05,sz.000418,30.6026673000,30.8764291800,29.5858374600,29.6836095600,29.9378170200,12969584,199913954.7100,后复权,3.725496,正常交易,-0.849100,133.356639,2.195541,14.458641,4.686601,否
2010-01-06,sz.000418,29.3316300000,29.3316300000,28.3539090000,28.7058885600,29.6836095600,7241875,106639164.2000,后复权,2.080219,正常交易,-3.293800,128.964127,2.123224,13.982401,4.532234,否
2010-01-07,sz.000418,28.2952457400,28.2952457400,27.0437628600,27.2393070600,28.7058885600,6389409,89687940.4400,后复权,1.835350,正常交易,-5.109000,122.375361,2.014749,13.268042,4.300682,否
2010-01-08,sz.000418,26.5940112000,27.7672764000,26.5353479400,27.6890587200,27.2393070600,3641381,50930948.7400,后复权,1.045982,正常交易,1.651100,124.395916,2.048014,13.487112,4.371691,否
2010-01-11,sz.000418,27.5717322000,27.9628206000,26.5549023600,27.3566335800,27.6890587200,9330245,128258513.2400,后复权,2.680101,正常交易,-1.200600,122.902462,2.023427,13.325190,4.319206,否
2010-01-12,sz.000418,27.3566335800,27.3566335800,27.3566335800,27.3566335800,27.3566335800,0,0.0000,后复权,,停牌,0.000000,122.902462,2.023427,13.325190,4.319206,否
2010-01-13,sz.000418,27.1415349600,28.2365824800,26.5940112000,27.4152968400,27.3566335800,5279052,74875676.4700,后复权,1.516401,正常交易,0.214400,123.166013,2.027766,13.353765,4.328468,否
2010-01-14,sz.000418,27.4348512600,28.3539090000,26.8873275000,28.3148001600,27.4152968400,6545000,93127453.4800,后复权,1.880043,正常交易,3.281000,127.207123,2.094297,13.791905,4.470487,否
2010-01-15,sz.000418,28.3148001600,29.1947490600,27.9041573400,28.6863341400,28.3148001600,4747973,69185997.4000,后复权,1.363849,正常交易,1.312200,128.876277,2.121778,13.972877,4.529146,否
2010-01-18,sz.000418,28.5494532000,29.1360858000,28.2756913200,29.0578681200,28.6863341400,4071563,59860044.1700,后复权,1.169551,正常交易,1.295200,130.545431,2.149258,14.153848,4.587806,否
2010-01-19,sz.000418,28.9992048600,29.9182626000,28.7449974000,29.7422728200,29.0578681200,7222276,109086469.8400,后复权,2.074589,正常交易,2.355300,133.620189,2.199880,14.487216,4.695863,否
2010-01-20,sz.000418,29.7422728200,29.8791537600,28.9600960200,29.4098476800,29.7422728200,5519292,82927301.8600,后复权,1.585410,正常交易,-1.117700,132.126735,2.175292,14.325294,4.643378,否
2010-01-21,sz.000418,29.1360858000,29.8791537600,28.1388103800,28.3734634200,29.4098476800,7439580,110393141.6500,后复权,2.137010,正常交易,-3.523900,127.470674,2.098636,13.820480,4.479749,否
2010-01-22,sz.000418,28.3930178400,28.4712355200,27.3370791600,27.9823750200,28.3734634200,4151058,58807119.3500,后复权,1.192386,正常交易,-1.378400,125.713669,2.069710,13.629984,4.418002,否
2010-01-25,sz.000418,27.6695043000,27.8846029200,26.3006949000,26.9850996000,27.9823750200,3463620,47705098.7600,后复权,0.994920,正常交易,-3.563900,121.233308,1.995946,13.144219,4.260547,否
2010-01-26,sz.000418,27.0242084400,27.1415349600,26.5940112000,26.9850996000,26.9850996000,3701489,50718203.1800,后复权,1.063248,正常交易,0.000000,121.233308,1.995946,13.144219,4.260547,否
2010-01-27,sz.000418,27.0437628600,27.3370791600,26.7895554000,27.0828717000,26.9850996000,1416385,19558970.2400,后复权,0.406855,正常交易,0.362300,121.672559,2.003178,13.191843,4.275983,否
2010-01-28,sz.000418,27.2393070600,27.7281675600,27.1024261200,27.5521777800,27.0828717000,2264977,31820176.5500,后复权,0.650612,正常交易,1.732900,123.780964,2.037890,13.420438,4.350080,否
2010-01-29,sz.000418,27.4935145200,28.7058885600,27.2197526400,28.2952457400,27.5521777800,2610426,37668410.2300,后复权,0.749842,正常交易,2.696900,127.119273,2.092851,13.782381,4.467399,否
2010-02-01,sz.000418,28.3539090000,28.6276708800,26.7895554000,27.9628206000,28.2952457400,2742588,39042625.3900,后复权,0.787805,正常交易,-1.174800,125.625819,2.068263,13.620459,4.414914,否
2010-02-02,sz.000418,28.2952457400,28.3930178400,27.1415349600,27.3761880000,27.9628206000,1957515,27713347.5600,后复权,0.562294,正常交易,-2.097900,122.990312,2.024873,13.334715,4.322294,否
2010-02-03,sz.000418,27.2393070600,27.5717322000,26.1051507000,27.5717322000,27.3761880000,4116045,55977169.7400,后复权,1.182329,正常交易,0.714300,123.868815,2.039336,13.429963,4.353167,否
2010-02-04,sz.000418,27.3761880000,28.0214838600,26.6917833000,27.8846029200,27.5717322000,2967105,42046242.3100,后复权,0.852297,正常交易,1.134800,125.274418,2.062478,13.582360,4.402565,否
2010-02-05,sz.000418,26.7895554000,27.6695043000,26.7895554000,27.1219805400,27.8846029200,1491083,20613628.9100,后复权,0.428312,正常交易,-2.734900,121.848259,2.006071,13.210893,4.282158,否
2010-02-08,sz.000418,27.1024261200,27.4348512600,26.8873275000,26.9850996000,27.1219805400,967532,13395783.6400,后复权,0.277922,正常交易,-0.504700,121.233308,1.995946,13.144219,4.260547,否
2010-02-09,sz.000418,26.9850996000,27.3761880000,26.8091098200,27.1024261200,26.9850996000,968826,13417880.4100,后复权,0.278294,正常交易,0.434800,121.760409,2.004624,13.201368,4.279071,否
2010-02-10,sz.000418,27.3761880000,27.7672764000,27.1024261200,27.3761880000,27.1024261200,1730128,24361932.4200,后复权,0.496977,正常交易,1.010100,122.990312,2.024873,13.334715,4.322294,否
2010-02-11,sz.000418,27.3761880000,27.7281675600,27.1415349600,27.7281675600,27.3761880000,3279955,45895614.0100,后复权,0.942163,正常交易,1.285700,124.571616,2.050907,13.506162,4.377866,否
2010-02-12,sz.000418,27.7281675600,28.6667797200,27.5521777800,28.5298987800,27.7281675600,4124992,59698446.3800,后复权,1.184899,正常交易,2.891400,128.173475,2.110207,13.896678,4.504447,否
2010-02-22,sz.000418,28.3539090000,28.9405416000,28.1583648000,28.3539090000,28.5298987800,3687944,53984418.0000,后复权,1.059357,正常交易,-0.616900,127.382823,2.097190,13.810955,4.476661,否
2010-02-23,sz.000418,28.4516811000,29.2925211600,28.0801471200,29.2925211600,28.3539090000,5170780,76477348.6000,后复权,1.485300,正常交易,3.310300,131.599634,2.166614,14.268145,4.624854,否
2010-02-24,sz.000418,29.3316300000,29.8204905000,28.9796504400,29.7618272400,29.2925211600,4210217,63548895.2500,后复权,1.209379,正常交易,1.602100,133.708040,2.201326,14.496740,4.698951,否
2010-02-25,sz.000418,29.7813816600,31.2284087400,29.7227184000,30.5048952000,29.7618272400,7318126,114686018.7600,后复权,2.102122,正常交易,2.496700,137.046348,2.256287,14.858683,4.816270,否
2010-02-26,sz.000418,30.1724700600,33.5553847200,30.1724700600,33.3011772600,30.5048952000,12038501,200680680.5900,后复权,3.458044,正常交易,9.166700,149.608930,2.463113,16.220729,5.257762,否
2010-03-01,sz.000418,33.1838507400,34.2593438400,32.6363269800,33.0665242200,33.3011772600,9355580,159164672.7400,后复权,2.687378,正常交易,-0.704600,148.554727,2.445757,16.106431,5.220713,否
2010-03-02,sz.000418,33.4380582000,33.4380582000,31.7172692400,32.1474664800,33.0665242200,8509272,139821257.3800,后复权,2.444277,正常交易,-2.779400,144.425767,2.377780,15.658766,5.075608,否
2010-03-03,sz.000418,31.9714767000,35.1979560000,31.2870720000,34.7090955000,32.1474664800,8481278,143572356.5500,后复权,2.436236,正常交易,7.968400,155.934146,2.567250,16.906514,5.480051,否
2010-03-04,sz.000418,34.6113234000,35.3935002000,32.8514256000,33.4771670400,34.7090955000,6043370,105441570.7700,后复权,1.735950,正常交易,-3.549300,150.399582,2.476130,16.306452,5.285548,否
2010-03-05,sz.000418,33.2816228400,34.1224629000,31.9714767000,32.5776637200,33.4771670400,4027437,67329549.5500,后复权,1.156876,正常交易,-2.686900,146.358472,2.409599,15.868311,5.143529,否
2010-03-08,sz.000418,32.7732079200,34.7873131800,32.2647930000,33.2229595800,32.5776637200,5768211,99596421.5800,后复权,1.656911,正常交易,1.980800,41.878120,2.126663,39.687103,5.016235,否
2010-03-09,sz.000418,33.3402861000,34.3180071000,32.1670209000,33.1447419000,33.2229595800,5822050,98612971.8500,后复权,1.672376,正常交易,-0.235400,41.779525,2.121656,39.593666,5.004425,否
2010-03-10,sz.000418,33.0274153800,33.0274153800,31.5999427200,31.9910311200,33.1447419000,2836935,46727087.0000,后复权,0.814906,正常交易,-3.480800,40.325252,2.047805,38.215480,4.830230,否
2010-03-11,sz.000418,31.9714767000,32.4603372000,31.6390515600,31.8150413400,31.9910311200,2174452,35544290.5900,后复权,0.624609,正常交易,-0.550100,40.103414,2.036540,38.005248,4.803658,否
2010-03-12,sz.000418,31.9519222800,31.9714767000,30.9350924400,31.6781604000,31.8150413400,1875505,30165940.0100,后复权,0.538736,正常交易,-0.430200,39.930873,2.027778,37.841734,4.782991,否
2010-03-15,sz.000418,31.6390515600,31.9323678600,31.4826162000,31.9323678600,31.6781604000,1272775,20625643.6700,后复权,0.365603,正常交易,0.802500,40.251306,2.044050,38.145402,4.821373,否
2010-03-16,sz.000418,31.9323678600,32.4603372000,31.6586059800,32.1865753200,31.9323678600,2336791,38287222.1700,后复权,0.671240,正常交易,0.796100,40.571739,2.060322,38.449070,4.859755,否
